a	12.3700787401575
ä	19.9800524934383
b	18.6535433070866
c	18.7133858267717
d	14.6141732283465
e	1
ë	19.9800524934383
f	19.2818897637795
g	16.8981627296588
h	16.8981627296588
i	13.7364829396325
ï	20
j	18.194750656168
k	17.2272965879265
l	16.2199475065617
m	17.4566929133858
n	10.1259842519685
o	14.2251968503937
ö	20
p	18.5238845144357
q	20
r	14.4047244094488
s	16.1800524934383
t	13.6068241469816
u	17.9154855643045
ü	19.9900262467192
v	17.7758530183727
w	18.2944881889764
x	19.9601049868766
y	19.9501312335958
z	18.4141732283465
