a	13.752808988764
ä	19.4157303370787
b	17.8202247191011
c	16.4719101123596
d	14.4269662921348
e	1
ë	f18.3483146067416
g	16.6292134831461
h	14.4269662921348
i	11.0112359550562
j	19.752808988764
k	18.5393258426966
l	15.9775280898876
m	17.1573033707865
n	8.19101123595506
o	17.5056179775281
ö	19.685393258427
p	19.2696629213483
q	20
r	12.2808988764045
s	12.8089887640449
ß	19.6067415730337
t	13.5168539325843
u	15.7191011235955
ü	19.2921348314607
v	19.0786516853933
w	18.0224719101124
x	19.9662921348315
y	19.9662921348315
z	18.6629213483146
